event_632783	1900 galveston hurricane	287097	how many killed in galveston hurricane
event_632783	1900 galveston hurricane	617079	what day was the galveston hurricane
event_632783	1900 galveston hurricane	941671	when did the galveston hurricane occur
event_632783	1900 galveston hurricane	441666	location difference between cyclone hurricane and typhoon
event_632783	1900 galveston hurricane	953072	when is the most dangerous time to visit someone during a hurricane
event_632783	1900 galveston hurricane	905937	what timezone is hurricane mills tn in
event_632783	1900 galveston hurricane	669914	what hurricane did the great bhola cyclone spawn from
event_632783	1900 galveston hurricane	918213	what was done to help people during hurricane katrina.
event_632783	1900 galveston hurricane	389572	hurricane utah police dept phone number
event_632783	1900 galveston hurricane	926223	what year did galveston recover hurricane ike
event_632783	1900 galveston hurricane	389564	hurricane galveston cost
event_306136	1903 water riots	541773	water riots in india
event_401735	1908 messina earthquake	145218	did the 1908 messina earthquake cause a tsunami
event_394423	1967 tasmanian fires	919921	what was the date of black tuesday
event_394423	1967 tasmanian fires	1055227	who was president of the us during black tuesday
event_801986	1976 tangshan earthquake	919909	what was the damage of the tangshan earthquake
event_281152	1992 los angeles riots	282207	how many died during the la riots
event_281152	1992 los angeles riots	941835	when did the la riots begin
event_281152	1992 los angeles riots	540923	was the la riots the most memorable riot
event_281152	1992 los angeles riots	243942	how long did the detroit riots last
event_722938	2004 indian ocean earthquake and tsunami	341934	how the boxing day tsunami was formed
event_722938	2004 indian ocean earthquake and tsunami	292980	how many people were killed in the 2004 indian ocean earthquake and tsunami
event_237462	2011 joplin tornado	1130916	how many were injured during the joplin tornado
event_237462	2011 joplin tornado	1141722	where did the joplin tornado happen
event_237462	2011 joplin tornado	292220	how many people died in the joplin tornadoes
event_1173556	2011–2017 california drought	584064	what caused california drought
event_1173556	2011–2017 california drought	1115287	what is california drought
event_1173556	2011–2017 california drought	570561	what are the impacts of the drought in california?
event_1173556	2011–2017 california drought	273176	how long was the most recent drought in california
event_234046	2013 nielsen pro tennis championships – doubles	933842	what's the weather like in winnetka
event_234046	2013 nielsen pro tennis championships – doubles	232716	how far is winnetka from highland park
event_631603	2013 philippine gubernatorial elections	935619	when are gubernatorial elections held
event_314480	2014 epsom derby	996165	where is the investec derby festival held
event_537433	2015 us open (tennis)	304256	how much did federer get for 2015 us open
event_537433	2015 us open (tennis)	533977	us open dates 2015 tennis
event_197781	2016 masters (snooker)	522545	top 10 players and scores in the 2016 masters golf tournament after round 3
event_197781	2016 masters (snooker)	326325	how much prize money is paid to the masters 2016
event_197781	2016 masters (snooker)	326323	how much prize money for masters golf 2016
event_197781	2016 masters (snooker)	953048	when is the masters golf tournament 2016
event_981215	2016 summer olympics	1007778	which country will host the 2016 olympics
event_981215	2016 summer olympics	905067	what time is kickoff in football at 2016 olympics
event_981215	2016 summer olympics	1019506	which sports are being introduced at the 2016 olympics
event_981215	2016 summer olympics	25813	are they changing the ontario trillium benefit for 2016
event_981215	2016 summer olympics	847976	what is the stadium for the olympics 2016 called
event_61609	2016 united kingdom european union membership referendum	1025183	who can vote in the eu referendum
event_61609	2016 united kingdom european union membership referendum	1077448	will eu passport holders get a vote in referendum
event_254096	2017 democratic republic of the congo gubernatorial elections	935619	when are gubernatorial elections held
event_303865	2017 masters (snooker)	115551	date of 2017 masters golf tournament
event_303865	2017 masters (snooker)	951067	when is masters 2017
event_430175	2017 masters tournament	951067	when is masters 2017
event_430175	2017 masters tournament	115551	date of 2017 masters golf tournament
event_844969	2017 women's march	1137274	who was the leader of the women's march on washington
event_844969	2017 women's march	617084	what day was the women's march on washington
event_844969	2017 women's march	11049	actress who spoke at dc women's march
event_844969	2017 women's march	493415	schedule for the month of march for women's march
event_844969	2017 women's march	854417	what is the women's march
event_844969	2017 women's march	942573	when did the women's march begin
event_844969	2017 women's march	1024708	who benefited in the women's march on versailles
event_844969	2017 women's march	854418	what is the women's march about?
event_844969	2017 women's march	927174	what year did the women's march on the palace of versailles vi occur
event_844969	2017 women's march	1107583	what was women's march of versailles
event_844969	2017 women's march	958713	when was march declared women's history month
event_844969	2017 women's march	417242	is march women's international month
event_346413	aaa when worlds collide	964409	when worlds collide aaa
event_268164	academy awards	470292	oscars at what time
event_268164	academy awards	470293	oscars best picture
event_268164	academy awards	470295	oscars walmart winning ticket number
event_268164	academy awards	144410	did lion wind any oscars
event_268164	academy awards	144171	did jay leno host the oscars
event_268164	academy awards	1044659	who misread best picture winner at oscars
event_268164	academy awards	521832	titanic won how many oscars
event_268164	academy awards	1028303	who has the most leading actress oscars
event_268164	academy awards	145132	did somewhere over the rainbow win any oscars
event_268164	academy awards	599299	what commercials played during the oscars
event_268164	academy awards	925851	what year did a streaker happen at the oscars
event_268164	academy awards	324964	how much money does academy make on oscars
event_268164	academy awards	1026324	who did andrew garfield bring to the oscars
event_268164	academy awards	1006769	which channel hosts the oscars
event_268164	academy awards	1174598	jennifer lawrence how many oscars
event_268164	academy awards	143728	did denzel washington win anything at the oscars
event_268164	academy awards	909524	what tv channel shows the oscars
event_268164	academy awards	922672	what was the song that sara bareilles sang at oscars
event_268164	academy awards	236800	how is hugh jackman as a host of the oscars
event_268164	academy awards	549857	what ads ran during the oscars
event_268164	academy awards	1057749	who won best supporting actor for oscars
event_268164	academy awards	578021	what award did the jungle book receive at the oscars
event_268164	academy awards	1062806	why did marlon brando boycott the oscars
event_268164	academy awards	963648	when will conan host the oscars
event_268164	academy awards	1062402	why did emma stone win the oscars
event_268164	academy awards	1057885	who wore the best gown to oscars
event_268164	academy awards	870824	what kind of sunglasses did jennifer aniston have at the oscars
event_268164	academy awards	143408	did beyonce perform at the oscars
event_268164	academy awards	920672	what was the first year of the oscars
event_268164	academy awards	1044652	who messed up in the oscars
event_268164	academy awards	838190	what is the oscars
event_268164	academy awards	145114	did sly win any oscars
event_268164	academy awards	1055517	who was snubbed at oscars
event_268164	academy awards	275419	how many black actors won lead role oscars
event_268164	academy awards	1028456	who holds the record for longest standing ovation at the oscars
event_268164	academy awards	107465	cost of the oscars
event_268164	academy awards	1138597	who is hosting oscars
event_268164	academy awards	904161	what time and network for oscars
event_268164	academy awards	616346	what date is the oscars
event_268164	academy awards	890338	what ratings on oscars
event_268164	academy awards	144184	did jennifer aniston look different at the oscars
event_268164	academy awards	904159	what time and channel for oscars
event_268164	academy awards	594486	what channel broadcast the oscars
event_268164	academy awards	995334	where is the dolby theatre oscars
event_268164	academy awards	1033636	who is hosting the oscars
